frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,,,,UNINITIALIZED,False,122.8789
1,0.0333,,,,UNINITIALIZED,False,30.6298
2,0.0667,,,,UNINITIALIZED,False,39.238
3,0.1,,,,UNINITIALIZED,False,24.36
4,0.1333,271.25,31.5,273.073,TRACKING,True,23.9907
5,0.1667,271.25,31.5,273.073,PREDICTED,False,24.3132
6,0.2,271.25,31.5,273.073,PREDICTED,False,24.3252
7,0.2333,271.25,31.5,273.073,PREDICTED,False,24.7895
8,0.2667,271.25,31.5,273.073,PREDICTED,False,24.538
9,0.3,271.25,31.5,273.073,PREDICTED,False,23.9121
10,0.3333,271.25,31.5,273.073,PREDICTED,False,24.173
11,0.3667,52.002,-21.236,56.171,TRACKING,True,24.0387
12,0.4,51.281,-21.409,55.571,PREDICTED,False,24.2055
13,0.4333,50.561,-21.582,54.975,PREDICTED,False,22.9251
14,0.4667,49.841,-21.756,54.382,PREDICTED,False,22.772
15,0.5,118.233,-38.511,124.347,TRACKING,True,23.0891
16,0.5333,117.935,-38.786,124.149,PREDICTED,False,22.6399
17,0.5667,117.636,-39.061,123.952,PREDICTED,False,22.8155
18,0.6,117.338,-39.335,123.755,PREDICTED,False,23.1591
19,0.6333,117.039,-39.61,123.56,PREDICTED,False,23.2133
20,0.6667,116.741,-39.884,123.366,PREDICTED,False,23.3771
21,0.7,116.443,-40.159,123.173,PREDICTED,False,23.4431
22,0.7333,116.144,-40.433,122.981,PREDICTED,False,23.8101
23,0.7667,141.846,-148.45,205.323,TRACKING,True,25.1371
24,0.8,141.837,-149.925,206.387,PREDICTED,False,24.0606
25,0.8333,27.526,-56.391,62.75,TRACKING,True,24.0815
26,0.8667,26.035,-56.634,62.332,PREDICTED,False,23.3736
27,0.9,-102.429,-7.888,102.732,TRACKING,True,23.1467
28,0.9333,-105.829,-7.395,106.087,PREDICTED,False,23.2303
29,0.9667,-109.229,-6.901,109.447,PREDICTED,False,23.0808
30,1.0,-112.629,-6.408,112.812,PREDICTED,False,23.0613
31,1.0333,-137.357,70.684,154.477,TRACKING,True,23.1376
32,1.0667,-141.14,72.552,158.695,PREDICTED,False,22.5923
33,1.1,-207.233,114.511,236.766,TRACKING,True,23.0165
34,1.1333,-212.218,117.152,242.407,PREDICTED,False,22.7791
35,1.1667,-136.771,45.69,144.201,TRACKING,True,22.484
36,1.2,-140.096,46.802,147.707,PREDICTED,False,23.2226
37,1.2333,-143.422,47.914,151.214,PREDICTED,False,23.5082
38,1.2667,-51.692,-36.449,63.25,TRACKING,True,23.5503
39,1.3,-52.919,-37.224,64.7,PREDICTED,False,22.9952
