frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-199.4,0.35,199.4,ACQUIRING,True,940.5885
1,0.0333,-196.675,0.263,196.675,ACQUIRING,True,36.0365
2,0.0667,-187.525,0.099,187.525,ACQUIRING,True,32.2379
3,0.1,-171.365,-0.063,171.365,ACQUIRING,True,36.6576
4,0.1333,-149.718,-0.198,149.718,TRACKING,True,35.5662
5,0.1667,-124.42,-0.292,124.42,TRACKING,True,39.8316
6,0.2,-96.942,-0.413,96.943,TRACKING,True,34.8828
7,0.2333,-68.094,-0.229,68.095,TRACKING,True,37.593
8,0.2667,-38.495,-0.067,38.495,TRACKING,True,39.4741
9,0.3,-10.663,0.052,10.663,TRACKING,True,34.971
10,0.3333,12.291,0.127,12.291,TRACKING,True,34.4204
11,0.3667,28.284,0.191,28.285,TRACKING,True,35.075
12,0.4,37.065,0.223,37.066,TRACKING,True,33.4971
13,0.4333,39.323,-0.026,39.323,TRACKING,True,33.3988
14,0.4667,36.535,-0.209,36.535,TRACKING,True,34.8245
15,0.5,30.279,-0.07,30.279,TRACKING,True,35.576
16,0.5333,22.361,0.041,22.361,TRACKING,True,35.4147
17,0.5667,14.321,0.119,14.322,TRACKING,True,36.6184
18,0.6,7.287,0.172,7.289,TRACKING,True,34.9623
19,0.6333,2.125,-0.084,2.126,TRACKING,True,35.4677
20,0.6667,-1.061,0.039,1.062,TRACKING,True,34.5018
21,0.7,-2.262,-0.144,2.266,TRACKING,True,35.7149
22,0.7333,-2.033,-0.003,2.033,TRACKING,True,36.6935
23,0.7667,-0.445,0.079,0.452,TRACKING,True,35.26
24,0.8,1.553,0.161,1.561,TRACKING,True,36.0572
25,0.8333,3.862,-0.066,3.862,TRACKING,True,35.286
26,0.8667,5.836,-0.221,5.84,TRACKING,True,34.9705
27,0.9,7.551,-0.081,7.552,TRACKING,True,35.1974
28,0.9333,8.539,0.027,8.539,TRACKING,True,35.4775
29,0.9667,8.943,0.126,8.944,TRACKING,True,35.6046
