frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-200.0,0.0,200.0,ACQUIRING,True,9.5395
1,0.0333,-197.273,0.0,197.273,ACQUIRING,True,2.4711
2,0.0667,-188.087,0.0,188.087,ACQUIRING,True,0.7723
3,0.1,-171.931,0.0,171.931,ACQUIRING,True,0.6633
4,0.1333,-150.281,0.0,150.281,TRACKING,True,0.6714
5,0.1667,-124.977,0.0,124.977,TRACKING,True,0.7033
6,0.2,-97.448,0.0,97.448,TRACKING,True,0.622
7,0.2333,-68.621,0.0,68.621,TRACKING,True,0.6862
8,0.2667,-39.041,0.0,39.041,TRACKING,True,0.617
9,0.3,-11.19,0.0,11.19,TRACKING,True,0.6379
10,0.3333,11.77,0.0,11.77,TRACKING,True,0.634
11,0.3667,28.08,0.0,28.08,TRACKING,True,0.6165
12,0.4,37.009,0.0,37.009,TRACKING,True,0.6475
13,0.4333,39.404,0.0,39.404,TRACKING,True,0.7707
14,0.4667,36.44,0.0,36.44,TRACKING,True,0.6905
15,0.5,30.37,0.0,30.37,TRACKING,True,0.5925
16,0.5333,22.572,0.0,22.572,TRACKING,True,0.6353
17,0.5667,14.618,0.0,14.618,TRACKING,True,0.6369
18,0.6,7.665,0.0,7.665,TRACKING,True,0.6415
19,0.6333,2.286,0.0,2.286,TRACKING,True,0.6074
20,0.6667,-0.817,0.0,0.817,TRACKING,True,0.6568
21,0.7,-2.25,0.0,2.25,TRACKING,True,0.6223
22,0.7333,-1.894,0.0,1.894,TRACKING,True,0.6266
23,0.7667,-0.509,0.0,0.509,TRACKING,True,0.6147
24,0.8,1.632,0.0,1.632,TRACKING,True,0.7003
25,0.8333,3.759,0.0,3.759,TRACKING,True,0.6101
26,0.8667,5.875,0.0,5.875,TRACKING,True,0.6046
27,0.9,7.416,0.0,7.416,TRACKING,True,0.702
28,0.9333,8.533,0.0,8.533,TRACKING,True,0.754
29,0.9667,9.056,0.0,9.056,TRACKING,True,0.6537
30,1.0,8.857,0.0,8.857,TRACKING,True,0.6257
31,1.0333,8.415,0.0,8.415,TRACKING,True,0.6294
32,1.0667,7.797,0.0,7.797,TRACKING,True,0.6555
33,1.1,7.337,0.0,7.337,TRACKING,True,0.6786
34,1.1333,6.992,0.0,6.992,TRACKING,True,0.6145
35,1.1667,6.444,0.0,6.444,TRACKING,True,0.6325
36,1.2,6.324,0.0,6.324,TRACKING,True,0.6864
37,1.2333,6.229,0.0,6.229,TRACKING,True,0.6405
38,1.2667,6.152,0.0,6.152,TRACKING,True,0.7046
39,1.3,6.088,0.0,6.088,TRACKING,True,0.6201
40,1.3333,6.034,0.0,6.034,TRACKING,True,0.6233
41,1.3667,6.278,0.0,6.278,TRACKING,True,0.6364
42,1.4,6.448,0.0,6.448,TRACKING,True,0.631
43,1.4333,6.566,0.0,6.566,TRACKING,True,0.6298
44,1.4667,6.645,0.0,6.645,TRACKING,True,0.7325
45,1.5,6.696,0.0,6.696,TRACKING,True,0.6475
46,1.5333,6.726,0.0,6.726,TRACKING,True,0.6313
47,1.5667,6.742,0.0,6.742,TRACKING,True,0.6296
48,1.6,6.747,0.0,6.747,TRACKING,True,0.6055
49,1.6333,6.745,0.0,6.745,TRACKING,True,0.6187
50,1.6667,6.737,0.0,6.737,TRACKING,True,0.6707
51,1.7,6.725,0.0,6.725,TRACKING,True,0.637
52,1.7333,6.711,0.0,6.711,TRACKING,True,0.65
53,1.7667,6.695,0.0,6.695,TRACKING,True,0.6884
54,1.8,6.677,0.0,6.677,TRACKING,True,0.6364
55,1.8333,6.66,0.0,6.66,TRACKING,True,0.6328
56,1.8667,6.641,0.0,6.641,TRACKING,True,0.6152
57,1.9,6.623,0.0,6.623,TRACKING,True,0.7088
58,1.9333,6.605,0.0,6.605,TRACKING,True,0.5888
59,1.9667,6.586,0.0,6.586,TRACKING,True,0.6285
60,2.0,6.569,0.0,6.569,TRACKING,True,0.6373
