frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-199.853,-0.526,199.853,ACQUIRING,True,1027.8805
1,0.0333,-197.112,-0.524,197.113,ACQUIRING,True,16.1294
2,0.0667,-187.93,-0.502,187.931,ACQUIRING,True,12.4288
3,0.1,-171.777,-0.366,171.777,ACQUIRING,True,13.1839
4,0.1333,-150.097,-0.314,150.097,TRACKING,True,13.5677
5,0.1667,-124.739,-0.085,124.74,TRACKING,True,13.5482
6,0.2,-97.253,0.142,97.253,TRACKING,True,13.3442
7,0.2333,-68.432,0.334,68.433,TRACKING,True,13.2601
8,0.2667,-38.854,0.11,38.854,TRACKING,True,13.1455
9,0.3,-10.91,-0.023,10.91,TRACKING,True,13.1267
10,0.3333,12.015,-0.111,12.015,TRACKING,True,12.9711
11,0.3667,28.023,-0.197,28.024,TRACKING,True,12.8973
12,0.4,37.01,0.093,37.01,TRACKING,True,13.2995
13,0.4333,39.485,-0.038,39.485,TRACKING,True,12.9977
14,0.4667,36.541,0.211,36.541,TRACKING,True,13.0583
15,0.5,30.245,0.049,30.245,TRACKING,True,12.9778
16,0.5333,22.278,-0.014,22.278,TRACKING,True,13.0771
17,0.5667,14.439,-0.148,14.44,TRACKING,True,13.27
18,0.6,7.574,-0.216,7.577,TRACKING,True,13.0455
19,0.6333,2.231,0.211,2.241,TRACKING,True,13.3706
20,0.6667,-1.039,0.034,1.04,TRACKING,True,13.1167
21,0.7,-2.376,-0.091,2.378,TRACKING,True,13.1618
22,0.7333,-1.839,-0.176,1.848,TRACKING,True,12.9629
23,0.7667,-0.477,0.219,0.525,TRACKING,True,12.6233
24,0.8,1.745,0.017,1.745,TRACKING,True,12.6405
25,0.8333,3.891,-0.13,3.893,TRACKING,True,12.6785
26,0.8667,6.021,0.149,6.022,TRACKING,True,12.6006
27,0.9,7.605,0.022,7.605,TRACKING,True,12.7363
28,0.9333,8.431,-0.102,8.432,TRACKING,True,12.9004
29,0.9667,8.746,-0.218,8.748,TRACKING,True,13.1715
30,1.0,8.625,0.125,8.625,TRACKING,True,13.4996
31,1.0333,8.297,0.344,8.304,TRACKING,True,13.4267
32,1.0667,8.088,0.106,8.089,TRACKING,True,13.1972
33,1.1,7.65,-0.055,7.651,TRACKING,True,13.6837
34,1.1333,6.973,-0.161,6.974,TRACKING,True,13.0007
35,1.1667,6.469,-0.238,6.474,TRACKING,True,12.8371
36,1.2,6.08,0.078,6.081,TRACKING,True,12.7745
37,1.2333,6.152,-0.076,6.153,TRACKING,True,13.9583
38,1.2667,6.178,0.209,6.182,TRACKING,True,14.3858
39,1.3,6.209,0.019,6.209,TRACKING,True,14.0555
40,1.3333,6.225,-0.119,6.226,TRACKING,True,13.5765
41,1.3667,6.508,-0.233,6.512,TRACKING,True,13.5188
42,1.4,6.667,0.085,6.668,TRACKING,True,13.342
43,1.4333,6.776,0.318,6.784,TRACKING,True,13.1433
44,1.4667,6.89,0.085,6.89,TRACKING,True,13.2326
45,1.5,6.966,-0.085,6.967,TRACKING,True,13.2125
46,1.5333,6.735,-0.196,6.737,TRACKING,True,13.2307
47,1.5667,6.559,-0.277,6.565,TRACKING,True,13.2012
48,1.6,6.405,0.064,6.406,TRACKING,True,12.9136
49,1.6333,6.546,0.304,6.553,TRACKING,True,13.135
50,1.6667,6.684,0.074,6.685,TRACKING,True,13.0655
51,1.7,6.779,-0.093,6.78,TRACKING,True,13.5238
52,1.7333,6.842,-0.215,6.846,TRACKING,True,12.9511
53,1.7667,6.582,0.109,6.583,TRACKING,True,13.0838
54,1.8,6.387,0.346,6.396,TRACKING,True,12.9045
55,1.8333,6.54,0.105,6.541,TRACKING,True,12.7625
56,1.8667,6.647,-0.071,6.647,TRACKING,True,12.8455
57,1.9,6.72,-0.2,6.723,TRACKING,True,13.088
58,1.9333,6.768,-0.294,6.774,TRACKING,True,12.8764
59,1.9667,6.757,0.043,6.757,TRACKING,True,13.099
60,2.0,6.744,0.289,6.75,TRACKING,True,12.9636
61,2.0333,6.772,0.063,6.772,TRACKING,True,12.7926
62,2.0667,6.505,-0.089,6.506,TRACKING,True,13.0573
63,2.1,6.589,-0.213,6.592,TRACKING,True,13.0509
64,2.1333,6.604,0.102,6.605,TRACKING,True,12.7724
65,2.1667,6.653,-0.073,6.653,TRACKING,True,12.8737
66,2.2,6.643,0.204,6.646,TRACKING,True,12.9793
67,2.2333,6.673,0.001,6.673,TRACKING,True,13.0448
68,2.2667,6.692,-0.148,6.693,TRACKING,True,13.0425
69,2.3,6.701,-0.256,6.706,TRACKING,True,13.1539
70,2.3333,6.664,0.072,6.664,TRACKING,True,12.8974
71,2.3667,6.633,0.31,6.64,TRACKING,True,12.859
72,2.4,6.648,0.078,6.649,TRACKING,True,12.5664
73,2.4333,6.656,-0.091,6.657,TRACKING,True,12.7638
74,2.4667,6.659,-0.215,6.662,TRACKING,True,12.9604
75,2.5,6.617,0.101,6.617,TRACKING,True,13.0994
76,2.5333,6.624,-0.074,6.625,TRACKING,True,13.1722
77,2.5667,6.586,0.204,6.589,TRACKING,True,13.1519
78,2.6,6.596,0.0,6.596,TRACKING,True,12.9038
79,2.6333,6.601,-0.148,6.602,TRACKING,True,13.2493
80,2.6667,6.602,-0.256,6.607,TRACKING,True,13.5532
81,2.7,6.559,0.071,6.559,TRACKING,True,13.0329
82,2.7333,6.525,0.31,6.532,TRACKING,True,13.5968
83,2.7667,6.539,0.078,6.54,TRACKING,True,13.395
84,2.8,6.547,-0.092,6.548,TRACKING,True,13.2227
85,2.8333,6.551,-0.215,6.555,TRACKING,True,13.3862
86,2.8667,6.511,0.101,6.511,TRACKING,True,13.8397
87,2.9,6.52,-0.075,6.521,TRACKING,True,13.3781
88,2.9333,6.484,0.204,6.487,TRACKING,True,14.1581
89,2.9667,6.497,0.0,6.497,TRACKING,True,13.3267
90,3.0,6.504,-0.148,6.506,TRACKING,True,13.7039
