frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-0.5,-0.5,0.707,ACQUIRING,True,12.7976
1,0.0333,-0.5,-0.5,0.707,ACQUIRING,True,2.9776
2,0.0667,-0.5,-0.5,0.707,ACQUIRING,True,1.3587
3,0.1,-0.5,-0.5,0.707,ACQUIRING,True,1.2602
4,0.1333,-0.5,-0.5,0.707,TRACKING,True,1.7228
5,0.1667,-0.5,-0.5,0.707,TRACKING,True,1.2673
6,0.2,-0.5,-0.5,0.707,TRACKING,True,1.2226
7,0.2333,-0.5,-0.5,0.707,TRACKING,True,1.3333
8,0.2667,-0.5,-0.5,0.707,TRACKING,True,1.3999
9,0.3,-0.5,-0.5,0.707,TRACKING,True,1.5205
10,0.3333,-0.5,-0.5,0.707,TRACKING,True,1.4533
11,0.3667,-0.5,-0.5,0.707,TRACKING,True,1.3811
12,0.4,-0.5,-0.5,0.707,TRACKING,True,1.3615
13,0.4333,-0.5,-0.5,0.707,TRACKING,True,1.491
14,0.4667,-0.5,-0.5,0.707,TRACKING,True,1.3578
15,0.5,-0.5,-0.5,0.707,TRACKING,True,1.3848
16,0.5333,-0.5,-0.5,0.707,TRACKING,True,1.4029
17,0.5667,-0.5,-0.5,0.707,TRACKING,True,1.3222
18,0.6,-0.5,-0.5,0.707,TRACKING,True,1.2799
19,0.6333,-0.5,-0.5,0.707,TRACKING,True,1.2078
20,0.6667,-0.5,-0.5,0.707,TRACKING,True,1.2942
21,0.7,-0.5,-0.5,0.707,TRACKING,True,1.1784
22,0.7333,-0.5,-0.5,0.707,TRACKING,True,1.2571
23,0.7667,-0.5,-0.5,0.707,TRACKING,True,1.2575
24,0.8,-0.5,-0.5,0.707,TRACKING,True,1.227
25,0.8333,-0.5,-0.5,0.707,TRACKING,True,1.2648
26,0.8667,-0.5,-0.5,0.707,TRACKING,True,1.2469
27,0.9,-0.5,-0.5,0.707,TRACKING,True,1.2806
28,0.9333,-0.5,-0.5,0.707,TRACKING,True,1.3024
29,0.9667,-0.5,-0.5,0.707,TRACKING,True,1.3426
30,1.0,-0.5,-0.5,0.707,TRACKING,True,1.2362
31,1.0333,-0.5,-0.5,0.707,TRACKING,True,1.2716
