frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-200.0,0.0,200.0,ACQUIRING,True,9.7291
1,0.0333,-197.273,0.0,197.273,ACQUIRING,True,2.5071
2,0.0667,-188.087,0.0,188.087,ACQUIRING,True,1.2257
3,0.1,-171.931,0.0,171.931,ACQUIRING,True,1.1371
4,0.1333,-150.281,0.0,150.281,TRACKING,True,1.0795
5,0.1667,-124.977,0.0,124.977,TRACKING,True,1.102
6,0.2,-97.448,0.0,97.448,TRACKING,True,1.1044
7,0.2333,-68.621,0.0,68.621,TRACKING,True,1.1079
8,0.2667,-39.041,0.0,39.041,TRACKING,True,1.0788
9,0.3,-11.19,0.0,11.19,TRACKING,True,1.3539
10,0.3333,11.77,0.0,11.77,TRACKING,True,1.1685
11,0.3667,28.08,0.0,28.08,TRACKING,True,1.0936
12,0.4,37.009,0.0,37.009,TRACKING,True,1.0925
13,0.4333,39.404,0.0,39.404,TRACKING,True,1.0785
14,0.4667,36.44,0.0,36.44,TRACKING,True,1.0655
15,0.5,30.37,0.0,30.37,TRACKING,True,1.0648
16,0.5333,22.572,0.0,22.572,TRACKING,True,1.0847
17,0.5667,14.618,0.0,14.618,TRACKING,True,1.1136
18,0.6,7.665,0.0,7.665,TRACKING,True,1.3435
19,0.6333,2.286,0.0,2.286,TRACKING,True,1.0981
20,0.6667,-0.817,0.0,0.817,TRACKING,True,1.0691
21,0.7,-2.25,0.0,2.25,TRACKING,True,1.0654
22,0.7333,-1.894,0.0,1.894,TRACKING,True,1.1212
23,0.7667,-0.509,0.0,0.509,TRACKING,True,1.0925
24,0.8,1.632,0.0,1.632,TRACKING,True,1.0595
25,0.8333,3.759,0.0,3.759,TRACKING,True,1.0865
26,0.8667,5.875,0.0,5.875,TRACKING,True,1.061
27,0.9,7.416,0.0,7.416,TRACKING,True,1.058
28,0.9333,8.533,0.0,8.533,TRACKING,True,1.0946
29,0.9667,9.056,0.0,9.056,TRACKING,True,1.112
30,1.0,8.857,0.0,8.857,TRACKING,True,1.0688
31,1.0333,8.415,0.0,8.415,TRACKING,True,1.0951
32,1.0667,7.797,0.0,7.797,TRACKING,True,1.0697
33,1.1,7.337,0.0,7.337,TRACKING,True,1.05
34,1.1333,6.992,0.0,6.992,TRACKING,True,1.096
35,1.1667,6.444,0.0,6.444,TRACKING,True,1.0821
36,1.2,6.324,0.0,6.324,TRACKING,True,1.0427
37,1.2333,6.229,0.0,6.229,TRACKING,True,1.0375
38,1.2667,6.152,0.0,6.152,TRACKING,True,1.1054
39,1.3,6.088,0.0,6.088,TRACKING,True,1.0655
40,1.3333,6.034,0.0,6.034,TRACKING,True,1.0753
41,1.3667,6.278,0.0,6.278,TRACKING,True,1.0527
42,1.4,6.448,0.0,6.448,TRACKING,True,1.0645
43,1.4333,6.566,0.0,6.566,TRACKING,True,1.1256
44,1.4667,6.645,0.0,6.645,TRACKING,True,1.105
45,1.5,6.696,0.0,6.696,TRACKING,True,1.0618
46,1.5333,6.726,0.0,6.726,TRACKING,True,1.0901
47,1.5667,6.742,0.0,6.742,TRACKING,True,1.0476
48,1.6,6.747,0.0,6.747,TRACKING,True,1.1025
49,1.6333,6.745,0.0,6.745,TRACKING,True,1.0964
50,1.6667,6.737,0.0,6.737,TRACKING,True,1.092
51,1.7,6.725,0.0,6.725,TRACKING,True,1.0753
52,1.7333,6.711,0.0,6.711,TRACKING,True,1.0455
53,1.7667,6.695,0.0,6.695,TRACKING,True,1.0565
54,1.8,6.677,0.0,6.677,TRACKING,True,1.3851
55,1.8333,6.66,0.0,6.66,TRACKING,True,1.0354
56,1.8667,6.641,0.0,6.641,TRACKING,True,1.1072
57,1.9,6.623,0.0,6.623,TRACKING,True,1.0662
58,1.9333,6.605,0.0,6.605,TRACKING,True,1.0825
59,1.9667,6.586,0.0,6.586,TRACKING,True,1.0647
60,2.0,6.569,0.0,6.569,TRACKING,True,1.049
61,2.0333,6.551,0.0,6.551,TRACKING,True,1.0535
62,2.0667,6.534,0.0,6.534,TRACKING,True,1.073
63,2.1,6.517,0.0,6.517,TRACKING,True,1.0588
64,2.1333,6.501,0.0,6.501,TRACKING,True,1.046
65,2.1667,6.485,0.0,6.485,TRACKING,True,1.0611
66,2.2,6.47,0.0,6.47,TRACKING,True,1.0453
67,2.2333,6.747,0.0,6.747,TRACKING,True,1.0765
68,2.2667,6.653,0.0,6.653,TRACKING,True,1.0622
69,2.3,6.581,0.0,6.581,TRACKING,True,1.1324
70,2.3333,6.817,0.0,6.817,TRACKING,True,1.0422
71,2.3667,6.694,0.0,6.694,TRACKING,True,1.0681
72,2.4,6.6,0.0,6.6,TRACKING,True,1.0419
73,2.4333,6.529,0.0,6.529,TRACKING,True,1.0691
