frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,200.0,0.0,200.0,TRACKING,True,4.1215
1,0.0333,197.545,0.182,197.546,TRACKING,True,3.2672
2,0.0667,189.278,0.794,189.28,TRACKING,True,2.7185
3,0.1,174.738,1.871,174.748,TRACKING,True,2.4984
4,0.1333,155.489,3.315,155.524,TRACKING,True,2.7875
5,0.1667,132.907,4.498,132.983,TRACKING,True,2.1994
6,0.2,108.282,5.419,108.417,TRACKING,True,2.0859
7,0.2333,82.717,6.115,82.943,TRACKING,True,2.0844
8,0.2667,56.379,6.364,56.737,TRACKING,True,2.0644
9,0.3,29.292,6.276,29.957,TRACKING,True,2.036
10,0.3333,5.527,6.211,8.314,TRACKING,True,2.0951
11,0.3667,-12.748,5.888,14.042,TRACKING,True,2.1882
12,0.4,-24.496,5.376,25.079,TRACKING,True,2.1652
13,0.4333,-29.786,5.001,30.203,TRACKING,True,2.0845
14,0.4667,-29.498,4.725,29.874,TRACKING,True,2.1426
15,0.5,-25.667,4.246,26.016,TRACKING,True,2.1116
16,0.5333,-19.23,4.173,19.677,TRACKING,True,2.1523
17,0.5667,-11.714,4.12,12.417,TRACKING,True,2.1412
18,0.6,-4.8,4.081,6.301,TRACKING,True,2.487
19,0.6333,0.831,4.052,4.137,TRACKING,True,2.1018
20,0.6667,4.682,4.313,6.366,TRACKING,True,2.1092
21,0.7,6.663,4.503,8.042,TRACKING,True,2.1462
22,0.7333,6.992,4.643,8.393,TRACKING,True,2.0723
23,0.7667,5.826,4.462,7.338,TRACKING,True,2.0206
24,0.8,4.412,4.613,6.384,TRACKING,True,2.0493
25,0.8333,2.251,4.724,5.233,TRACKING,True,2.0544
26,0.8667,0.109,4.805,4.806,TRACKING,True,2.0677
27,0.9,-1.449,4.579,4.803,TRACKING,True,2.083
28,0.9333,-2.579,4.699,5.36,TRACKING,True,2.0358
29,0.9667,-3.395,4.501,5.638,TRACKING,True,2.0762
30,1.0,-3.697,4.357,5.714,TRACKING,True,2.0817
31,1.0333,-3.334,4.251,5.403,TRACKING,True,2.0735
32,1.0667,-3.059,4.174,5.175,TRACKING,True,2.1075
33,1.1,-2.562,4.118,4.85,TRACKING,True,2.147
34,1.1333,-2.189,4.365,4.883,TRACKING,True,2.0399
35,1.1667,-1.907,4.545,4.929,TRACKING,True,2.0692
36,1.2,-1.693,4.388,4.704,TRACKING,True,2.0521
37,1.2333,-1.528,4.274,4.539,TRACKING,True,2.0811
38,1.2667,-1.398,4.191,4.418,TRACKING,True,2.125
39,1.3,-1.296,4.13,4.329,TRACKING,True,1.9949
40,1.3333,-1.502,4.086,4.353,TRACKING,True,2.0301
41,1.3667,-1.645,4.054,4.375,TRACKING,True,2.0396
42,1.4,-1.741,4.031,4.391,TRACKING,True,2.0472
43,1.4333,-1.804,4.014,4.401,TRACKING,True,2.2623
44,1.4667,-1.842,4.002,4.406,TRACKING,True,2.1928
45,1.5,-2.152,4.284,4.794,TRACKING,True,2.1881
46,1.5333,-2.081,4.489,4.948,TRACKING,True,2.1492
47,1.5667,-2.312,4.349,4.925,TRACKING,True,2.1359
48,1.6,-2.474,3.956,4.666,TRACKING,True,2.1693
49,1.6333,-2.584,3.669,4.488,TRACKING,True,2.2015
50,1.6667,-2.658,3.46,4.363,TRACKING,True,2.2513
51,1.7,-2.704,3.6,4.502,TRACKING,True,2.1432
52,1.7333,-2.732,3.702,4.601,TRACKING,True,2.1208
53,1.7667,-2.745,3.776,4.669,TRACKING,True,2.1708
54,1.8,-2.748,3.831,4.715,TRACKING,True,2.1463
55,1.8333,-2.744,3.872,4.745,TRACKING,True,2.1387
56,1.8667,-2.735,3.901,4.764,TRACKING,True,2.1517
57,1.9,-2.722,3.923,4.775,TRACKING,True,2.1593
58,1.9333,-2.707,3.647,4.542,TRACKING,True,2.3086
59,1.9667,-2.69,3.739,4.606,TRACKING,True,2.0892
60,2.0,-2.672,3.805,4.65,TRACKING,True,2.1144
61,2.0333,-2.946,3.854,4.851,TRACKING,True,2.1051
62,2.0667,-2.848,3.89,4.821,TRACKING,True,2.1456
63,2.1,-3.064,3.624,4.746,TRACKING,True,2.1207
64,2.1333,-2.923,3.431,4.508,TRACKING,True,2.1324
65,2.1667,-3.109,3.29,4.526,TRACKING,True,2.1176
66,2.2,-3.239,3.188,4.545,TRACKING,True,2.1189
67,2.2333,-3.329,3.114,4.558,TRACKING,True,2.0949
68,2.2667,-3.389,3.353,4.768,TRACKING,True,2.1126
69,2.3,-3.429,3.236,4.715,TRACKING,True,2.1431
70,2.3333,-3.453,3.151,4.675,TRACKING,True,2.1575
71,2.3667,-3.467,3.381,4.843,TRACKING,True,2.1402
72,2.4,-3.472,3.258,4.761,TRACKING,True,2.128
73,2.4333,-3.179,3.168,4.488,TRACKING,True,2.0688
74,2.4667,-3.254,3.103,4.496,TRACKING,True,2.0894
75,2.5,-3.305,3.056,4.501,TRACKING,True,2.1111
76,2.5333,-3.631,3.022,4.724,TRACKING,True,2.1691
77,2.5667,-3.865,2.998,4.891,TRACKING,True,2.1775
78,2.6,-3.738,2.981,4.782,TRACKING,True,2.1239
79,2.6333,-3.643,2.969,4.7,TRACKING,True,2.2097
80,2.6667,-3.57,2.961,4.638,TRACKING,True,2.1043
81,2.7,-3.513,2.663,4.408,TRACKING,True,2.1167
82,2.7333,-3.761,2.739,4.653,TRACKING,True,2.1088
83,2.7667,-3.938,2.795,4.829,TRACKING,True,2.1742
84,2.8,-4.064,2.544,4.795,TRACKING,True,2.216
85,2.8333,-4.153,2.654,4.929,TRACKING,True,2.2108
86,2.8667,-4.214,2.735,5.024,TRACKING,True,2.0994
87,2.9,-4.256,2.502,4.937,TRACKING,True,2.0895
88,2.9333,-3.697,2.333,4.372,TRACKING,True,2.0665
89,2.9667,-3.58,2.503,4.368,TRACKING,True,2.2842
90,3.0,-3.492,2.335,4.201,TRACKING,True,2.0955
91,3.0333,-3.718,2.213,4.327,TRACKING,True,2.1029
92,3.0667,-3.881,2.125,4.425,TRACKING,True,2.1306
93,3.1,-3.997,2.062,4.497,TRACKING,True,2.0634
94,3.1333,-4.079,2.016,4.55,TRACKING,True,2.1347
95,3.1667,-4.136,1.984,4.587,TRACKING,True,2.1734
96,3.2,-4.176,1.961,4.613,TRACKING,True,2.4712
97,3.2333,-4.202,1.946,4.63,TRACKING,True,2.1428
98,3.2667,-4.219,1.935,4.641,TRACKING,True,2.0882
99,3.3,-4.229,1.928,4.647,TRACKING,True,2.047
100,3.3333,-4.234,1.924,4.65,TRACKING,True,2.0584
101,3.3667,-4.235,1.922,4.651,TRACKING,True,2.0724
102,3.4,-4.234,1.921,4.649,TRACKING,True,2.009
103,3.4333,-4.231,1.921,4.647,TRACKING,True,2.3195
104,3.4667,-4.227,1.921,4.643,TRACKING,True,2.1243
105,3.5,-4.222,1.63,4.526,TRACKING,True,2.1082
106,3.5333,-4.217,1.711,4.551,TRACKING,True,2.1428
107,3.5667,-4.211,1.771,4.568,TRACKING,True,2.16
108,3.6,-4.498,1.815,4.851,TRACKING,True,2.1107
109,3.6333,-4.705,1.555,4.956,TRACKING,True,2.091
110,3.6667,-4.562,1.366,4.762,TRACKING,True,2.1306
111,3.7,-4.455,1.523,4.708,TRACKING,True,2.171
112,3.7333,-4.669,1.344,4.858,TRACKING,True,2.1982
113,3.7667,-4.53,1.215,4.69,TRACKING,True,2.158
114,3.8,-4.427,1.122,4.567,TRACKING,True,2.0574
115,3.8333,-4.35,1.055,4.476,TRACKING,True,2.0756
116,3.8667,-4.586,1.007,4.695,TRACKING,True,2.085
117,3.9,-4.463,0.974,4.568,TRACKING,True,2.0787
118,3.9333,-4.372,0.95,4.474,TRACKING,True,2.1502
119,3.9667,-4.305,0.934,4.405,TRACKING,True,2.1199
120,4.0,-4.547,0.63,4.591,TRACKING,True,2.0592
121,4.0333,-4.723,0.702,4.775,TRACKING,True,2.0704
122,4.0667,-4.556,0.756,4.619,TRACKING,True,2.0904
123,4.1,-4.727,0.796,4.793,TRACKING,True,2.1341
124,4.1333,-4.85,0.827,4.92,TRACKING,True,2.1093
125,4.1667,-4.645,0.85,4.722,TRACKING,True,2.1375
126,4.2,-4.787,0.574,4.822,TRACKING,True,2.2379
127,4.2333,-4.597,0.667,4.645,TRACKING,True,2.1386
128,4.2667,-4.457,0.736,4.518,TRACKING,True,2.1002
129,4.3,-4.647,0.494,4.673,TRACKING,True,2.0666
130,4.3333,-4.785,0.319,4.795,TRACKING,True,2.084
131,4.3667,-4.591,0.192,4.595,TRACKING,True,2.134
