frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-199.853,-0.526,199.853,ACQUIRING,True,2642.3521
1,0.0333,-197.112,-0.524,197.113,ACQUIRING,True,16.255
2,0.0667,-187.93,-0.502,187.931,ACQUIRING,True,12.1479
3,0.1,-171.777,-0.366,171.777,ACQUIRING,True,13.0673
4,0.1333,-150.097,-0.314,150.097,TRACKING,True,13.4979
5,0.1667,-124.739,-0.085,124.74,TRACKING,True,13.4027
6,0.2,-97.253,0.142,97.253,TRACKING,True,13.3206
7,0.2333,-68.432,0.334,68.433,TRACKING,True,13.3265
8,0.2667,-38.854,0.11,38.854,TRACKING,True,13.4318
9,0.3,-10.91,-0.023,10.91,TRACKING,True,13.4115
10,0.3333,12.015,-0.111,12.015,TRACKING,True,13.379
11,0.3667,28.023,-0.197,28.024,TRACKING,True,13.5865
12,0.4,37.01,0.093,37.01,TRACKING,True,13.3768
13,0.4333,39.485,-0.038,39.485,TRACKING,True,13.3937
14,0.4667,36.541,0.211,36.541,TRACKING,True,13.217
15,0.5,30.245,0.049,30.245,TRACKING,True,13.1448
16,0.5333,22.278,-0.014,22.278,TRACKING,True,13.0225
17,0.5667,14.439,-0.148,14.44,TRACKING,True,13.4794
18,0.6,7.574,-0.216,7.577,TRACKING,True,13.1706
19,0.6333,2.231,0.211,2.241,TRACKING,True,13.1651
20,0.6667,-1.039,0.034,1.04,TRACKING,True,13.2598
21,0.7,-2.376,-0.091,2.378,TRACKING,True,13.3558
22,0.7333,-1.839,-0.176,1.848,TRACKING,True,13.0536
23,0.7667,-0.477,0.219,0.525,TRACKING,True,13.1309
24,0.8,1.745,0.017,1.745,TRACKING,True,13.3656
25,0.8333,3.891,-0.13,3.893,TRACKING,True,13.1714
26,0.8667,6.021,0.149,6.022,TRACKING,True,13.1628
27,0.9,7.605,0.022,7.605,TRACKING,True,13.0033
28,0.9333,8.431,-0.102,8.432,TRACKING,True,12.6641
29,0.9667,8.746,-0.218,8.748,TRACKING,True,13.1685
30,1.0,8.625,0.125,8.625,TRACKING,True,12.9158
31,1.0333,8.297,0.344,8.304,TRACKING,True,13.242
32,1.0667,8.088,0.106,8.089,TRACKING,True,13.3373
33,1.1,7.65,-0.055,7.651,TRACKING,True,13.2067
34,1.1333,6.973,-0.161,6.974,TRACKING,True,14.1455
35,1.1667,6.469,-0.238,6.474,TRACKING,True,12.7548
36,1.2,6.08,0.078,6.081,TRACKING,True,13.1422
37,1.2333,6.152,-0.076,6.153,TRACKING,True,13.1887
38,1.2667,6.178,0.209,6.182,TRACKING,True,13.7179
39,1.3,6.209,0.019,6.209,TRACKING,True,13.7727
40,1.3333,6.225,-0.119,6.226,TRACKING,True,13.2569
41,1.3667,6.508,-0.233,6.512,TRACKING,True,13.2575
42,1.4,6.667,0.085,6.668,TRACKING,True,13.4381
43,1.4333,6.776,0.318,6.784,TRACKING,True,13.6008
44,1.4667,6.89,0.085,6.89,TRACKING,True,13.2235
45,1.5,6.966,-0.085,6.967,TRACKING,True,14.8256
46,1.5333,6.735,-0.196,6.737,TRACKING,True,14.4501
47,1.5667,6.559,-0.277,6.565,TRACKING,True,13.876
48,1.6,6.405,0.064,6.406,TRACKING,True,13.8587
49,1.6333,6.546,0.304,6.553,TRACKING,True,13.9213
50,1.6667,6.684,0.074,6.685,TRACKING,True,13.129
51,1.7,6.779,-0.093,6.78,TRACKING,True,14.1154
52,1.7333,6.842,-0.215,6.846,TRACKING,True,13.8093
53,1.7667,6.582,0.109,6.583,TRACKING,True,13.621
54,1.8,6.387,0.346,6.396,TRACKING,True,13.9993
55,1.8333,6.54,0.105,6.541,TRACKING,True,14.2637
