frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-0.5,-0.5,0.707,ACQUIRING,True,18.4151
1,0.0333,-0.5,-0.5,0.707,ACQUIRING,True,3.835
2,0.0667,-0.5,-0.5,0.707,ACQUIRING,True,1.2525
3,0.1,-0.5,-0.5,0.707,ACQUIRING,True,1.2812
4,0.1333,-0.5,-0.5,0.707,TRACKING,True,1.6098
5,0.1667,-0.5,-0.5,0.707,TRACKING,True,1.2286
6,0.2,-0.5,-0.5,0.707,TRACKING,True,1.197
7,0.2333,-0.5,-0.5,0.707,TRACKING,True,1.205
8,0.2667,-0.5,-0.5,0.707,TRACKING,True,1.3003
9,0.3,-0.5,-0.5,0.707,TRACKING,True,1.7225
10,0.3333,-0.5,-0.5,0.707,TRACKING,True,1.4853
11,0.3667,-0.5,-0.5,0.707,TRACKING,True,1.824
12,0.4,-0.5,-0.5,0.707,TRACKING,True,1.3798
13,0.4333,-0.5,-0.5,0.707,TRACKING,True,1.3169
14,0.4667,-0.5,-0.5,0.707,TRACKING,True,1.3075
15,0.5,-0.5,-0.5,0.707,TRACKING,True,1.4553
16,0.5333,-0.5,-0.5,0.707,TRACKING,True,1.4276
17,0.5667,-0.5,-0.5,0.707,TRACKING,True,1.3235
18,0.6,-0.5,-0.5,0.707,TRACKING,True,1.2134
19,0.6333,-0.5,-0.5,0.707,TRACKING,True,1.2862
20,0.6667,-0.5,-0.5,0.707,TRACKING,True,1.2625
21,0.7,-0.5,-0.5,0.707,TRACKING,True,1.4126
22,0.7333,-0.5,-0.5,0.707,TRACKING,True,1.277
23,0.7667,-0.5,-0.5,0.707,TRACKING,True,1.3106
24,0.8,-0.5,-0.5,0.707,TRACKING,True,1.2672
25,0.8333,-0.5,-0.5,0.707,TRACKING,True,1.2494
26,0.8667,-0.5,-0.5,0.707,TRACKING,True,1.2419
27,0.9,-0.5,-0.5,0.707,TRACKING,True,1.217
28,0.9333,-0.5,-0.5,0.707,TRACKING,True,1.3476
29,0.9667,-0.5,-0.5,0.707,TRACKING,True,1.2023
30,1.0,-0.5,-0.5,0.707,TRACKING,True,1.1799
31,1.0333,-0.5,-0.5,0.707,TRACKING,True,1.238
32,1.0667,-0.5,-0.5,0.707,TRACKING,True,1.2183
33,1.1,-0.5,-0.5,0.707,TRACKING,True,1.2641
34,1.1333,-0.5,-0.5,0.707,TRACKING,True,1.2667
35,1.1667,-0.5,-0.5,0.707,TRACKING,True,1.1768
36,1.2,-0.5,-0.5,0.707,TRACKING,True,1.2618
37,1.2333,-0.5,-0.5,0.707,TRACKING,True,1.499
38,1.2667,-0.5,-0.5,0.707,TRACKING,True,1.3815
39,1.3,-0.5,-0.5,0.707,TRACKING,True,1.3907
40,1.3333,-0.5,-0.5,0.707,TRACKING,True,1.261
41,1.3667,-0.5,-0.5,0.707,TRACKING,True,1.4289
42,1.4,-0.5,-0.5,0.707,TRACKING,True,1.2259
43,1.4333,-0.5,-0.5,0.707,TRACKING,True,1.2353
