frame_index,time_s,detected,confidence,detected_x,detected_y,tracked_x,tracked_y,groundtruth_x,groundtruth_y,centroid_error_px,pointing_offset_x_px,pointing_offset_y_px,pointing_offset_px,command,status
0,0.0,1,0.6819894909858704,520.2810668945312,239.391845703125,520.2810668945312,239.391845703125,,,,200.28106689453125,-0.608154296875,200.28199022393528,RIGHT,ACQUIRING
1,0.03333333333333333,1,0.6700987219810486,512.5892181396484,239.96188354492188,519.581787109375,239.44366455078125,,,,199.581787109375,-0.55633544921875,199.58256250209823,RIGHT,ACQUIRING
2,0.06666666666666667,1,0.6115155220031738,190.23333740234375,10.33511734008789,466.7596740722656,202.69839477539062,,,,146.75967407226562,-37.301605224609375,151.42592805107796,RIGHT,ACQUIRING
3,0.1,1,0.6444845199584961,439.4378662109375,246.2396240234375,461.0838317871094,211.68785095214844,,,,141.08383178710938,-28.312149047851562,143.89657874821464,RIGHT,ACQUIRING
4,0.13333333333333333,1,0.6382066011428833,474.4072570800781,242.43000030517578,464.18994140625,218.91310119628906,,,,144.18994140625,-21.086898803710938,145.72369918409206,RIGHT,TRACKING
5,0.16666666666666666,1,0.6181492209434509,190.08587646484375,10.33108901977539,395.13409423828125,166.3848419189453,,,,75.13409423828125,-73.61515808105469,105.18708863879445,RIGHT,TRACKING
6,0.2,1,0.6341471076011658,359.6102294921875,247.74444580078125,385.6934509277344,187.54405212402344,,,,65.69345092773438,-52.45594787597656,84.06697307719492,RIGHT,TRACKING
7,0.23333333333333334,1,0.6552544832229614,332.81097412109375,246.76983642578125,371.40728759765625,203.29624938964844,,,,51.40728759765625,-36.70375061035156,63.1654535882948,RIGHT,TRACKING
8,0.26666666666666666,1,0.6425683498382568,307.13970947265625,247.20431518554688,353.8331604003906,215.15447998046875,,,,33.833160400390625,-24.84552001953125,41.97597655468528,RIGHT,TRACKING
9,0.3,1,0.7418440580368042,278.52801513671875,245.80462646484375,333.06036376953125,223.541015625,,,,13.06036376953125,-16.458984375,21.011217681252525,UP,TRACKING
10,0.3333333333333333,1,0.7353779673576355,264.30126953125,246.20355224609375,313.88092041015625,229.82373046875,,,,-6.11907958984375,-10.17626953125,11.874325100800021,UP,TRACKING
